X,Y
77.75,66.75
78.25,66.75
78.75,66.75
76.25,66.25
76.75,66.25
77.25,66.25
77.75,66.25
78.25,66.25
78.75,66.25
79.25,66.25
75.75,65.75
76.25,65.75
76.75,65.75
77.25,65.75
77.75,65.75
78.25,65.75
78.75,65.75
79.25,65.75
75.75,65.25
76.25,65.25
76.75,65.25
77.25,65.25
77.75,65.25
78.25,65.25
78.75,65.25
79.25,65.25
79.75,65.25
80.25,65.25
75.75,64.75
76.25,64.75
76.75,64.75
77.25,64.75
77.75,64.75
78.25,64.75
74.25,64.25
74.75,64.25
75.25,64.25
75.75,64.25
76.25,64.25
76.75,64.25
77.25,64.25
77.75,64.25
78.25,64.25
78.75,64.25
79.25,64.25
73.75,63.75
74.25,63.75
74.75,63.75
75.25,63.75
75.75,63.75
76.25,63.75
76.75,63.75
77.25,63.75
77.75,63.75
78.25,63.75
78.75,63.75
79.25,63.75
79.75,63.75
73.25,63.25
73.75,63.25
74.25,63.25
74.75,63.25
75.25,63.25
75.75,63.25
76.25,63.25
76.75,63.25
77.25,63.25
77.75,63.25
78.25,63.25
78.75,63.25
79.25,63.25
79.75,63.25
77.75,62.75
78.25,62.75
78.75,62.75
79.25,62.75
79.75,62.75
