X,Y
82.25,66.75
82.75,66.75
83.25,66.75
79.75,66.25
80.25,66.25
80.75,66.25
81.25,66.25
82.25,66.25
82.75,66.25
83.25,66.25
79.75,65.75
80.25,65.75
80.75,65.75
81.25,65.75
81.75,65.75
82.25,65.75
82.75,65.75
83.25,65.75
83.75,65.75
84.25,65.75
80.75,65.25
81.25,65.25
81.75,65.25
82.25,65.25
82.75,65.25
83.25,65.25
83.75,65.25
84.25,65.25
84.75,65.25
78.75,64.75
79.25,64.75
79.75,64.75
80.25,64.75
80.75,64.75
81.25,64.75
81.75,64.75
82.25,64.75
82.75,64.75
83.25,64.75
83.75,64.75
84.25,64.75
84.75,64.75
85.25,64.75
85.75,64.75
79.75,64.25
80.25,64.25
80.75,64.25
81.25,64.25
81.75,64.25
82.25,64.25
82.75,64.25
83.25,64.25
83.75,64.25
84.25,64.25
84.75,64.25
85.25,64.25
85.75,64.25
80.25,63.75
80.75,63.75
81.25,63.75
81.75,63.75
82.25,63.75
82.75,63.75
83.25,63.75
83.75,63.75
84.25,63.75
84.75,63.75
85.25,63.75
80.25,63.25
80.75,63.25
81.25,63.25
81.75,63.25
82.25,63.25
82.75,63.25
83.25,63.25
83.75,63.25
84.25,63.25
84.75,63.25
85.25,63.25
85.75,63.25
81.75,62.75
82.25,62.75
83.25,62.75
83.75,62.75
84.25,62.75
84.75,62.75
85.25,62.75
85.75,62.75
